run,pedout,pedrmsout
147,877.64,1.84
148,877.77,1.72
178,1299.07,1.17
183,1299.64,1.69
185,1299.77,1.70
186,1299.66,1.75
187,1299.71,1.66
222,1300.01,2.06
224,1299.85,1.36
240,1299.30,1.42
241,1299.31,1.40
242,1299.87,1.38
243,1299.76,1.40
244,1299.93,1.38
248,1299.95,1.38
341,1299.71,1.53
359,1297.97,1.50
360,1297.47,1.48
364,1297.64,1.27
365,1297.75,1.14
366,1297.59,1.57
367,1297.36,1.53
399,1298.07,1.50
402,1298.82,1.47
403,1298.97,1.64
404,1298.54,1.44
406,1298.76,1.63
416,1295.46,1.79
429,1297.65,1.55
430,1297.76,1.54
431,1297.43,1.50
432,1297.73,1.47
433,1297.69,1.53
434,1297.76,1.62
435,1297.73,1.55
436,1297.67,1.51
437,1297.54,1.57
438,1297.64,1.54
439,1297.78,1.58
440,1297.85,1.71
441,1297.64,1.55
443,1299.53,1.50
444,1299.57,1.60
445,1299.47,1.59
447,1299.45,1.63
448,1299.16,1.59
449,1299.28,1.62
450,1299.11,1.65
451,1299.04,1.67
455,1298.50,1.60
456,1298.52,1.59
457,1298.35,1.61
458,1298.57,1.59
